area,class,evi,lat,lon,lst_day,lst_night,time,day
3434538.7727415864,no_fire,0.20262500000000006,41.343749996287215,-122.85884463462308,287.73,282.355,2018-10-24,120
18031328.55689333,no_fire,0.23330952380952386,38.63035713938803,-120.87915396791401,297.8752380952382,283.8714285714285,2018-10-24,120
6010442.852297776,no_fire,0.4084857142857144,41.88154761528653,-123.79950627782507,285.26857142857136,280.5285714285714,2018-11-01,128
118491587.65958472,no_fire,0.07100072463768117,37.527596614987395,-118.36619318551372,302.05884057971014,279.7855072463768,2018-11-01,128
24041771.409191106,no_fire,0.18018928571428566,34.948511901623434,-120.21865907298208,304.23428571428576,288.4857142857143,2018-11-01,128
6010442.852297776,no_fire,0.20288571428571428,41.635119043880096,-122.83125705222095,288.52285714285716,276.0857142857144,2018-11-01,128
26617675.48874729,no_fire,0.1792806451612903,35.677822577441184,-119.07492337403136,300.5606451612904,283.88129032258064,2018-11-01,128
549526203.6386539,no_fire,0.162891171875,38.37838541322018,-119.45285979045292,286.278875,266.52006250000005,2018-11-09,136
89298008.09128125,no_fire,0.19074375,34.857051278921034,-119.17258850041588,289.26461538461535,277.81615384615384,2018-11-09,136
61821697.90934856,no_fire,0.17584027777777778,37.235995367026476,-121.33247655344364,295.96277777777783,278.1086111111111,2018-11-09,136
2575904.07955619,no_fire,0.32688333333333336,40.534722218582104,-122.74838707122858,290.0733333333333,279.9533333333333,2018-11-09,136
37779926.50015745,no_fire,0.1960193181818182,35.15776514835789,-120.59347887308105,300.28454545454554,281.3881818181818,2018-11-09,136
4293173.465926983,no_fire,0.34312000000000004,41.26749999629407,-121.49791921661402,284.188,273.40400000000005,2018-11-17,144
5151808.15911238,no_fire,0.26633333333333337,39.124999996486466,-120.35873394438822,285.50333333333333,274.1933333333333,2018-11-17,144
20607232.63644952,no_fire,0.3320041666666667,39.781944440871904,-123.43140506921928,286.73333333333335,281.50333333333333,2018-11-17,144
30910848.95467428,no_fire,0.3040166666666667,40.08842592232588,-121.37315293458951,282.4705555555555,273.6922222222222,2018-11-17,144
55811255.05705078,no_fire,0.26181692307692306,39.192884611864976,-120.5642508767913,288.05999999999995,277.6575384615385,2018-11-17,144
8586346.931853967,no_fire,0.24267,36.27249999674263,-121.73798682068515,286.158,278.33000000000004,2018-11-25,152
4293173.465926983,no_fire,0.1054,34.259166663590086,-116.19988137112504,295.572,280.444,2018-11-25,152
8586346.931853967,no_fire,0.36407,39.748333329763824,-121.14140539730444,276.824,275.092,2018-11-25,152
30910848.95467428,no_fire,0.07767777777777779,34.398148145059096,-115.293595794753,298.4011111111111,279.9994444444444,2018-11-25,152
82428930.54579808,no_fire,0.2328192708333333,35.72656249679165,-121.18196487840622,287.763125,280.8052083333334,2018-11-25,152
10303616.31822476,no_fire,0.07905,36.741666663367155,-120.5557569663018,288.86000000000007,278.2933333333334,2018-12-03,160
6010442.852297776,no_fire,0.4772142857142858,39.32321428218295,-123.63072343563508,284.00857142857143,279.54,2018-12-03,160
